"L1422","85A07","59C09","GMR_59C09_AV_01-20150313_46_G6","70A","1","Yes","","Case4_Wk5","None"
"L1358","76E07","53D01","GMR_53D01_AV_01-20150313_46_H1","17C","1","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Needimage"
"L989","29G05","37G11","GMR_37G11_AV_01-20150306_41_B1","11A","1","Yes","Yes_TI_wk12","Yes-rd2","Weak"
"L983","20G10","37E08","GMR_37E08_AV_01-20150306_41_C6","70C","1","Yes","Yes_TI_wk6","","Weak"
"L991","73B12","37G11","GMR_37G11_AV_01-20150306_41_D6","11A","1","Yes","Yes_TI_wk12","Yes-TI_wk4","Medium"
"L939","11E08","33E02","GMR_33E02_AV_01-20150306_41_E1","3B","1","No","","","Medium"
"L1045","54G12","41G09","GMR_41G09_AV_01-20150306_41_E6","1A","43","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Strong"
"","","","","1H","","","","",""
"","","","","(138)","","","","",""
"","","","","1B","","","","",""
"L1501","11E08","65G08","GMR_65G08_AV_01-20150306_41_F2","(138)","1","Yes","","","Medium"
"L247","82F03","34G01","GMR_34G01_XD_01-20150403_42_A1","1B","1","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Strong"
"L545","22A12","93F07","GMR_93F07_AV_01-20150403_42_A3","141-sleep","1","Yes","Yes_TI_wk6","Yes-TI_wk4","None"
"L542","42D01","86A05","GMR_86A05_AV_01-20150403_42_A4","4A","1","Yes","Yes_TI-wk24","Yes_TI_wk26","None"
"L481","14E05","65H10","GMR_65H10_AV_01-20150403_42_B2","8A","1","Yes","","Yes_TI_wk26","Medium"
"L788","34C08","22C12","GMR_22C12_AV_01-20150306_41_E5","1D","1","Yes","Yes_TI-wk27","Yes_TI_wk23","Strong"
"L494","65D05","66B12","GMR_66B12_AV_01-20150403_43_B4","16A","2","Yes","Yes_TI-wk25","Yes-TI_wk15-16 (flycore)","None"
"","","","","","","","","",""
"L327","82F03","47B03","GMR_47B03_AV_01-20150410_41_A1","1A","1","No","","","Weak"
"","","","","27C","","","","",""
"L459","14B11","59F02","GMR_59F02_AV_01-20150403_43_A5","7A","1","No","Yes_TI_wk7","Yes-TI_wk15-16 (flycore)","Weak"
"L1478","64E06","65C07","GMR_65C07_AV_01-20150410_41_A5","141","1","Yes","","Yes_TI_wk26","Medium"
"L1197","30F11","48D05","GMR_48D05_AV_01-20150410_41_B1","4I","1","Yes","Yes_TI-wk28","Yes-TI_wk8","Medium"
"L787","34C08","22B12","GMR_22B12_AV_01-20150410_41_B2","1A","1","No","Yes_TI_wk10","","Strong"
"L117","82F03","20A03","GMR_20A03_AV_01-20150410_41_C1","1B","1","Yes","Yes_TI_wk7","Yes-TI_wk5","Medium"
"L795","11E08","25B07","GMR_25B07_AV_01-20150410_41_B3","3B","1","Yes","Yes_TI_wk7","","None"
"L849","11E08","28A10","GMR_28A10_XD_01-20150410_41_B4","3F","1","Yes","Yes_TI_wk7","Yes-rd2","Medium"
"MB036B","38D01","77F05","GMR_MB036B-20130115_31_A1","3C","1","Yes","Yes_TI_wk7","Yes-TI_wk8","Weak"
"RD_1","","","RD_1-20130212_32_A1","123","1","Yes","Yes_TI_wk10","","Weak"
"L235","86A05","34E07","GMR_34E07_AV_01-20150410_41_B5","4A","1","Yes","Yes_TI_wk10","Case4_Wk1","None"
"L68","47B03","14B11","GMR_14B11_XD_01-20150410_41_F1","29C","1","Yes","","Yes_TI_wk27","None"
"L196","79C09","31B01","GMR_31B01_AV_01-20150410_41_B6","116A","1","Yes","Yes_TI_wk7","Yes-TI_wk5","Medium"
"L458","13C04","59F02","GMR_59F02_AV_01-20150410_41_D1","8A","1","Yes","","Yes_TI_wk27","None"
"L436","79C09","55C05","GMR_55C05_AV_01-20150410_41_D2","116B","1","No","","","Strong"
"L1506","41H07","65H10","GMR_65H10_AV_01-20150410_41_E3","70A","2","Yes","","","Medium"
"L1475","86A05","65C07","GMR_65C07_AV_01-20150410_41_E5","4A","1","Yes","Yes_TI-wk24","Case4_Wk1","None"
"L1467","65C07","76C08","GMR_65C07_AV_01-20150410_41_E6","4A","1","No","Yes_TI_wk4","Yes-TI_wk5","Medium"
"","","","","(141)","","","","",""
"L572","38D01","94F11","GMR_94F11_AV_01-20150313_45_A3","1H","1","Yes","","","Don't Care"
"L1196","10G01","48D05","GMR_48D05_AV_01-20150313_45_A6","4A","1","Yes","Yes_TI_wk7","Yes-TI_wk5","Don't Care"
"L1520","49H05","66A06","GMR_66A06_AV_01-20150313_45_B3","70A","1","Yes","","Yes_TI_wk27","Needimage"
"L1111","20G10","41H07","GMR_41H07_AV_01-20150313_45_C6","70C","1","Yes","","","None"
"L984","41H07","37E08","GMR_37E08_AV_01-20150313_45_D4","70C","1","No","Yes_TI_wk7","Yes-rd2","Needimage"
"L907","53A03","30A10","GMR_30A10_AV_01-20150313_45_E3","27A","1","Yes","Yes_TI_wk7","Yes_TI_wk31","None"
"L1046","82F03","41G09","GMR_41G09_AV_01-20150508_43_E4","1B","1","Yes","Yes_TI_wk4","Yes-TI_wk5","Medium"
"L123","16C09","20G01","GMR_20G01_AV_01-20150508_43_C3","3D","1","Yes","","Yes-TI_wk1","Weak"
"L771","41H07","20G10","GMR_20G10_AV_01-20150508_43_C5","70C","1","Yes","","Yes-TI_wk1","Medium"
"L124","54G12","20G01","GMR_20G01_AV_01-20150508_43_C4","1D","1","Yes","Yes_TI-wk28","Yes-TI_wk5","Weak"
"L1040","22B12","41G09","GMR_41G09_AV_01-20150508_43_D5","138","1","Yes","","","None"
"L803","84A06","25B07","GMR_25B07_AV_01-20150508_43_D1","3B","1","Yes","Yes_TI_wk8","Yes-TI_wk6","Weak"
"L1107","49H05","41H07","GMR_41H07_AV_01-20150508_43_E3","70A","1","Yes","","","Medium"
"L1594","43D01","76G09","GMR_76G09_AV_01-20150515_41_A3","101","2","Yes","Yes_TI-wk26","Case4_Wk2","None"
"L1574","20G01","76G09","GMR_76G09_AV_01-20150515_41_A4","1D","1","Yes","Yes_TI-wk27","Yes_TI_wk31","Weak"
"L412","22B12","54G12","GMR_54G12_AV_01-20150515_41_B6","1A","1","Yes","Yes_TI_wk8","Yes-TI_wk6","Medium"
"L1297","34C08","52H12","GMR_52H12_AV_01-20150515_41_C6","12A","1","No","Yes_TI_wk8","Yes-TI_wk6","Medium"
"L1302","20C12","52H12","GMR_52H12_AV_01-20150515_41_D3","12B","1","In Progress (flycore)","Yes_TI_wk8","Yes-TI_wk1","Medium"
"L1296","28A10","52H12","GMR_52H12_AV_01-20150515_41_D1","12B","1","Yes","Yes_TI_wk8","Yes-TI_wk6","Weak"
